track_id,album_name,album_id,album_release_date,album_total_tracks,artist_name,artist_id,track_duration,track_name,explicit,track_popularity,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,acousticness,liveness,valence,tempo,time_signature,genre_name,country
6LFCvmXT5Ar77mpdky7B9T,Royal Handel,5g2JqtsQ01AXW4gj1AjMW3,2021-01-08,14,George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,296560,"Flavio, Re de Longobardi, HWV 16: Aria ""Rompo i lacci, e frango i dardi""",0,18,6LFCvmXT5Ar77mpdky7B9T,0.417,0.299,6,-18.329,0,0.0431,0.0125,0.952,0.0938,0.312,133.671,4,Baroque Singing,
1LQt75DgIQiQuTnSEpmCqb,Ud Af Dig (Edit),1g3YpX16rrhty8hrhiqxoL,2020-06-19,1,Høker,6MUVoGQ54GVbYImUQNQtS9,189374,Ud Af Dig - Edit,0,25,1LQt75DgIQiQuTnSEpmCqb,0.565,0.87,7,-4.496,0,0.0594,0.0,0.0473,0.193,0.548,90.037,4,Danish Indie Pop,Denmark
4nSQvLJWwLmr1fqMTDSUOo,Better Together,5sYh3IFuQAwd9atAh6lGzO,2019-10-25,1,Merlin Duncan,7cIYA1SxUoeW285iZ6rGg3,180334,Better Together,0,2,4nSQvLJWwLmr1fqMTDSUOo,0.135,0.277,9,-20.347,0,0.0457,0.927,0.986,0.108,0.0639,84.694,1,Pianissimo,
3YTl6r1eL0BoBSuFuN3q2F,In The Jungle,4HgCrdTSNmFa4Shtz4yxjv,2014-04-03,2,De Oliveira,1tvXSb5uwz2zmdKvss8M3D,438805,Stampede - Original Mix,0,0,3YTl6r1eL0BoBSuFuN3q2F,0.607,0.938,10,-6.32,0,0.0657,0.822,0.000118,0.361,0.353,133.986,4,Re:Techno,
0z8eOJgg51WUyesBjBAwpy,Places in the West: Music of Dan Welcher,04gCUJ2KiTFJzptzCzZd0Z,2014-12-02,7,Dan Welcher,3xNifeP2FXSYhkOeH4gZnR,577920,4 Places in the West: IV. Zion,0,6,0z8eOJgg51WUyesBjBAwpy,0.191,0.282,1,-18.545,1,0.043,0.903,0.928,0.0544,0.0734,82.332,4,"American Contemporary Classical,Concert Band",United States
0IYoysINbiH6z5zgoOqft7,Say Yeah,1FGX88Yapxv50i7Qbs1bCf,2020-07-16,1,Miraa May,2fOvE1l01YyORhYzwoaLCM,184000,Say Yeah,1,48,0IYoysINbiH6z5zgoOqft7,0.4,0.685,0,-6.081,0,0.0448,0.000366,0.0974,0.0683,0.578,98.115,4,UK Contemporary R&B,United Kingdom
5ycPinCcoPxtbmI6bWvdQb,Tiempo Perfecto,63wAn5QWIJPBshssIYbSQW,2020-06-01,1,Astralucia,1DHujB8qyV5vc4HFY0O8Ng,478805,Tiempo Perfecto,0,1,5ycPinCcoPxtbmI6bWvdQb,0.411,0.481,4,-5.975,0,0.0291,0.0167,0.333,0.0976,0.127,140.047,4,Rock Catracho,Honduras
1wSm3diFWvQyIJkLm94nAN,Diz Que Tá Sofrendo,4Uhw3hJmxVBGuW5Y8o1MYH,2019-05-01,1,Pamela lima,4EyW4QfIQyxtYrl4eEA62Z,194596,Diz Que Tá Sofrendo,0,3,1wSm3diFWvQyIJkLm94nAN,0.617,0.665,9,-7.056,1,0.0388,0.0,0.11,0.179,0.898,169.992,4,Música Piauiense,Brazil
0a5qW5EfkIjO5rLJHk2HKY,My Type,1GS0O58T7anBGuFWyt1exl,2020-03-27,1,Simiz,5E8nbRGMr541TMSF7bH3lD,138250,My Type,1,22,0a5qW5EfkIjO5rLJHk2HKY,0.841,0.766,2,-6.482,1,0.112,0.0,0.0446,0.591,0.528,105.05,4,Romanian Trap,Romania
2Mgu4g8cjdAwJ8A8fKSVxW,Messe De La Grâce,2Bmnwpev6m1GgsgNJzusBp,2015-10-01,9,Eglise Lyon centre,5SaDoznUSMhdS3HNjTE0Hn,355263,Louez-Le,0,26,2Mgu4g8cjdAwJ8A8fKSVxW,0.515,0.667,0,-6.614,1,0.0427,1.22e-06,0.157,0.219,0.335,99.809,4,French Worship,France
